ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$setUp,3572,0,32,0,20,3006169088,10706,140736365550848,140218610141661,1,40,3631262,293,0,45056,0
EXIT-org/apache/hadoop/dfs/TestCrcCorruption$setUp,3573,0,32,0,20,3006169088,10706,140736365550848,140218610141661,1,40,3631685,293,0,45056,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$testCrcCorruption,3574,0,32,0,20,3006169088,10706,140736365550848,140218610141661,1,40,3632108,293,0,45056,0
ENTER-org/apache/hadoop/dfs/TestCrcCorruption$thistest,4535,0,50,0,20,3006169088,13056,140736365550848,140218610141661,1,41,5154565,293,0,45056,0
ENTER-org/apache/hadoop/dfs/NameNode$format,9393,0,94,2,21,3141677056,20448,140736365550848,140218610141661,1,41,6022286,355,0,45056,0
ENTER-org/apache/hadoop/dfs/NameNode$format,9571,0,94,2,21,3141677056,20580,140736365550848,140218610141661,1,41,6022711,355,0,45056,0
ENTER-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,12201,0,134,6,21,3143774208,24092,140736365550848,140218610141661,1,40,6377794,355,0,45056,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$getNamespaceDirs,12202,0,134,6,21,3143774208,24092,140736365550848,140218610141661,1,40,6378221,355,0,45056,0
ENTER-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,12259,0,144,6,21,3143774208,24115,140736365550848,140218610141661,1,40,6860554,355,0,45056,0
EXIT-org/apache/hadoop/dfs/NameNode$getNameNodeMetrics,12259,0,144,6,21,3143774208,24115,140736365550848,140218610141661,1,40,6860981,355,0,45056,0
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,12260,0,144,6,21,3143774208,24115,140736365550848,140218610141661,1,40,6861408,355,0,45056,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,12260,0,145,6,21,3143774208,24115,140736365550848,140218610141661,1,40,6861835,355,0,45056,0
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,12262,0,145,6,21,3143774208,24115,140736365550848,140218610141661,1,40,6862262,355,0,45056,0
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,12271,0,146,6,21,3143774208,24152,140736365550848,140218610141661,1,40,6879889,355,0,45056,0
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,12271,0,147,6,21,3143774208,24152,140736365550848,140218610141661,1,40,6880316,355,0,45056,0
